trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20220311,000001.SH,上证综指,week,周K,3309.747,3529.8178499999995,3543.5574666666666,-6.2346234098170195,-6.598184701844456,公开指数日线计算（周K最后实际交易日）
20220318,000001.SH,上证综指,week,周K,3251.072,3513.24125,3534.7165666666665,-7.462318450234518,-8.0245349610634,公开指数日线计算（周K最后实际交易日）
20220325,000001.SH,上证综指,week,周K,3212.24,3496.4864500000003,3527.546766666667,-8.129488103693372,-8.93841492467623,公开指数日线计算（周K最后实际交易日）
20220331,000001.SH,上证综指,month,月K,3252.203,3456.3544500000003,,-5.906554230860217,,公开指数日线计算（月K最后实际交易日）
20220401,000001.SH,上证综指,week,周K,3282.717,3486.0439000000006,3519.5654333333337,-5.832597231492132,-6.72947947181699,公开指数日线计算（周K最后实际交易日）
20220408,000001.SH,上证综指,week,周K,3251.85,3471.6814,3508.5693,-6.332130592398255,-7.316922598621611,公开指数日线计算（周K最后实际交易日）
20220415,000001.SH,上证综指,week,周K,3211.245,3454.225,3492.1738,-7.034284101354138,-8.044525160803861,公开指数日线计算（周K最后实际交易日）
20220422,000001.SH,上证综指,week,周K,3086.919,3430.3665,3474.6055666666666,-10.011976854368188,-11.157714429111177,公开指数日线计算（周K最后实际交易日）
20220429,000001.SH,上证综指,week,周K,3047.062,3402.3480000000004,3455.7387333333336,-10.44237685269116,-11.826030984093883,公开指数日线计算（周K最后实际交易日）
20220429,000001.SH,上证综指,month,月K,3047.062,3438.9236499999997,,-11.394892410594803,,公开指数日线计算（月K最后实际交易日）
20220506,000001.SH,上证综指,week,周K,3001.561,3369.1086499999997,3436.8518666666664,-10.90934392988483,-12.665395063676288,公开指数日线计算（周K最后实际交易日）
20220513,000001.SH,上证综指,week,周K,3084.285,3341.7047,3419.9224666666664,-7.703244993490898,-9.814183506733299,公开指数日线计算（周K最后实际交易日）
20220520,000001.SH,上证综指,week,周K,3146.567,3318.1303499999995,3405.7291666666665,-5.170482527909115,-7.6095941275424295,公开指数日线计算（周K最后实际交易日）
20220527,000001.SH,上证综指,week,周K,3130.239,3292.65355,3390.650333333333,-4.932634045267226,-7.680276871172498,公开指数日线计算（周K最后实际交易日）
20220531,000001.SH,上证综指,month,月K,3186.427,3437.3424,,-7.299691761868122,,公开指数日线计算（月K最后实际交易日）
20220602,000001.SH,上证综指,week,周K,3195.458,3273.4492999999998,3378.9210666666672,-2.382541864937382,-5.429634580000853,公开指数日线计算（周K最后实际交易日）
20220610,000001.SH,上证综指,week,周K,3284.834,3261.6282,3372.0299333333332,0.7114790091647949,-2.5858588167139485,公开指数日线计算（周K最后实际交易日）
20220617,000001.SH,上证综指,week,周K,3316.786,3251.3391,3364.6194666666665,2.0129213836846516,-1.421660521807988,公开指数日线计算（周K最后实际交易日）
20220624,000001.SH,上证综指,week,周K,3349.747,3250.75445,3357.5986,3.0452177032319394,-0.23384570150821737,公开指数日线计算（周K最后实际交易日）
20220630,000001.SH,上证综指,month,月K,3398.616,3446.04655,3312.447866666667,-1.3763757776284247,2.6013430792510617,公开指数日线计算（月K最后实际交易日）
20220701,000001.SH,上证综指,week,周K,3387.637,3246.9889,3351.7168666666666,4.331647083856693,1.0716935457933507,公开指数日线计算（周K最后实际交易日）
20220708,000001.SH,上证综指,week,周K,3356.078,3240.25495,3343.3384,3.57450422226806,0.3810442879488285,公开指数日线计算（周K最后实际交易日）
20220715,000001.SH,上证综指,week,周K,3228.061,3229.0877,3328.7288333333336,-0.0317953581750019,-3.0242124959312555,公开指数日线计算（周K最后实际交易日）
20220722,000001.SH,上证综指,week,周K,3269.974,3220.20395,3316.649166666667,1.5455558335055075,-1.4072988827327992,公开指数日线计算（周K最后实际交易日）
20220729,000001.SH,上证综指,week,周K,3253.238,3217.3785,3304.4886333333334,1.1145564626605209,-1.5509399190045237,公开指数日线计算（周K最后实际交易日）
20220729,000001.SH,上证综指,month,月K,3253.238,3439.1207000000004,3321.671533333333,-5.404948421845168,-2.0602137401785625,公开指数日线计算（月K最后实际交易日）
20220805,000001.SH,上证综指,week,周K,3227.027,3216.1762499999995,3290.730366666667,0.33738045295248487,-1.9358427938049205,公开指数日线计算（周K最后实际交易日）
20220812,000001.SH,上证综指,week,周K,3276.888,3219.40865,3280.6418666666664,1.7854008685725509,-0.11442476256880996,公开指数日线计算（周K最后实际交易日）
20220819,000001.SH,上证综指,week,周K,3258.078,3218.1767,3271.869266666667,1.2398728758430178,-0.42151032155136603,公开指数日线计算（周K最后实际交易日）
20220826,000001.SH,上证综指,week,周K,3236.223,3217.3953500000002,3262.3244333333337,0.5851829803881436,-0.8000869891001017,公开指数日线计算（周K最后实际交易日）
20220831,000001.SH,上证综指,month,月K,3202.138,3425.5741500000004,3332.3993333333337,-6.522589797100153,-3.9089352836664926,公开指数日线计算（月K最后实际交易日）
20220902,000001.SH,上证综指,week,周K,3186.478,3216.157,3256.492366666667,-0.92280942752484,-2.14999326831935,公开指数日线计算（周K最后实际交易日）
20220909,000001.SH,上证综指,week,周K,3262.054,3224.91375,3249.7958999999996,1.1516664592967851,0.37719599560084305,公开指数日线计算（周K最后实际交易日）
20220916,000001.SH,上证综指,week,周K,3126.398,3228.8805500000003,3237.6506,-3.1739343841629575,-3.436213901524765,公开指数日线计算（周K最后实际交易日）
20220923,000001.SH,上证综指,week,周K,3088.37,3233.221,3225.5494000000003,-4.480083483312769,-4.252900296613049,公开指数日线计算（周K最后实际交易日）
20220930,000001.SH,上证综指,week,周K,3024.391,3230.2263000000003,3211.4408,-6.372163461117264,-5.824482269765019,公开指数日线计算（周K最后实际交易日）
20220930,000001.SH,上证综指,month,月K,3024.391,3402.6402499999995,3341.5358333333334,-11.116345608384536,-9.490990046243708,公开指数日线计算（月K最后实际交易日）
20221014,000001.SH,上证综指,week,周K,3071.987,3226.4973,3203.5154666666667,-4.78879371757106,-4.105754070340895,公开指数日线计算（周K最后实际交易日）
20221021,000001.SH,上证综指,week,周K,3038.929,3221.9318,3196.4440333333337,-5.679909177469233,-4.927820781178294,公开指数日线计算（周K最后实际交易日）
20221028,000001.SH,上证综指,week,周K,2915.926,3207.9552,3186.5669,-9.103281741590408,-8.493181172502606,公开指数日线计算（周K最后实际交易日）
20221031,000001.SH,上证综指,month,月K,2893.483,3371.8604,3342.6492,-14.187342987271945,-13.437431603651373,公开指数日线计算（月K最后实际交易日）
20221104,000001.SH,上证综指,week,周K,3070.796,3197.2533,3179.5028666666667,-3.955185533783012,-3.4189894214699423,公开指数日线计算（周K最后实际交易日）
20221111,000001.SH,上证综指,week,周K,3087.293,3185.7786499999997,3174.017633333334,-3.091415343624071,-2.732329915957521,公开指数日线计算（周K最后实际交易日）
